,Song_Name,Artist,Genre,Lyrics,SongID
10,OTW,"Khalid, 6LACK & Ty Dolla $ign",Pop,na na na na ooh oh oh ayy put drive outside way way meet five night day day put drive outside way way meet five night day day yeah yeah yeah type shit waiting year back town minute yeah got lot time need somewhere spend press button top go missing kept slip know rented yeah oh oh wanna worried bout friends saw afternoon reading mind fair gotta let know ears got lot room whip wanna take way put drive outside way way meet five night day day put drive outside way way meet five night day day dolla ign dolla ign drop top porsche put bitch sport field oh yeah yeah already yeah come outside looking like snack hurry get hell yeah yeah come mission ooh yeah ooh yeah riding coast ooh yeah want sure ooh yeah say play khalid ooh yeah say pass weed ooh yeah pull crib oh said never put provocateur girl made mi amor said left ex dude always gassy said never happy took l winning ever since ever since hit phone way cancel plans yeah yeah put drive outside way way meet five night day day put drive outside way way meet five night day day tryna make move tonight got time tell wanna call squad wanna rendezvous gon push got room two jects set porsche vette confess flex ayy show respect get away make sense life park put shit drive coast like tomorrow moving fast hoping drive slow yeah want wonder go learn lot something know put drive outside way way meet five night day day put drive outside way way meet five night day day,11
11,Hasta Luego,HRVY & Malu Trevejo,Pop,got juliet eyes romeo tonight star crossed love first sight like movie danced like never gonna die blowin floor like dynamite dont wanna tell good bye one night ohh got oh got eye yie yie yie yie yie yie ohh told ohh told eye yie yie yie yie yie yie hasta luego way go know name though oh hasta luego way go know name though oh said bailamos said bailamos said bailamos dance hasta luego way go know name though oh pasa nada esta bien haria lo que sea para verte al tenerte mis pies esto se pone caliente bailando quiero probar pero mi corazón sabe esperar tengo para enamorar yo tengo lo que tu quieres ohh got ohh got eye yie yie yie yie yie yie ohh told ohh told eye yie yie yie yie yie yie hasta luego way go know name though oh hasta luego way go know name though oh said bailamos said bailamos said bailamos dance hasta luego way go know name though oh like ohh ohh ay ay ay tienes ohh ohh ay ay ay like ohh ohh ay ay ay tienes ohh ohh ay ay ay hasta luego way go know name though oh hasta luego way go know name though oh said bailamos said bailamos said bailamos dance hasta luego way go know name though oh,12
12,Take a Byte,Janelle Monáe,Pop,kind girl take home mama tell lies tell lies code programmed love pretend oh surprise maybe lust maybe love maybe never ends ooh say goodbyes say em play hair nibble mocha skin yeah take byte take byte take byte help help alright alright tell feels good nibble take byte take byte help look good help think twice think twice tell random access memory wants come say goodbye say goodbye saw therapist thinks magic sin oh maybe right maybe right well lick angel purify ooh angels fun fun dress like better pretend yeah make love til numb take byte take byte help go ahead help alright alright tell take byte take byte take byte help look good help think twice think twice tell take byte take byte help help alright alright tell take byte oh take byte help go help alright tell take byte look good help alright take little byte take little byte take little byte,13
13,"Crazy, Classic, Life",Janelle Monáe,Pop,told us hold truths self evident men created equal endowed creator certain unalienable rights among life liberty pursuit happiness young black wild free naked limousine oh oh oh oh oh oh oh oh riding hood real slow love smell trees oh oh oh oh oh oh oh oh wanna party hard sex swimming pool oh oh oh oh oh oh oh oh need lot cash wanna break rules oh oh oh oh oh oh oh oh need another ruler friends kings oh oh oh oh oh oh oh oh american nightmare american dream oh oh oh oh oh oh oh oh let live life want crazy classic life want crazy classic life world end tonight crazy classic life need diamond ring wanna waste youth wanna live knees tell truth baby wanna left wanna cheat wanna find guy hope loves need another ruler need another fool oh oh oh oh oh oh oh oh american nightmare american cool oh oh oh oh oh oh oh oh let live life want crazy classic life want crazy classic life world end tonight crazy classic life want crazy classic life want crazy classic life world end tonight crazy classic life crazy classic life handcuffed bando white boy sandals police like rambo blow blow like candle sambo friends opposite mistake jail top shit living life walking around moppin shit tech kid backpack college kid wanted break rules like wanted someone love matter always stood black waldo dancing thick brows running naked luau shrooms praying face waist remember told black ya black poppin like bra strap ya kicked said loud kicked said proud really ever felt stressed kinda like afro pressed,14
14,Ring,Cardi B,Pop,ooh ooh ring ring ring ring hit line oh oh make ring ring ring ring keep low want make ring ring ring ring call first decide want bitch got pride switchin shit fuck feelin hard get touch hit actin like know number dial quit throw towel cause nigga gon allow want gun smoke learn text nose thumb broke care gettin stall ass still wake missed calls ass nigga hit line oh oh make ring ring ring ring keep low want make ring ring ring ring nah nigga gon call call cause lookin messages yeah actin like niggas want let another nigga spot gon hot nigga coffee gon sick stomach hit free 1 800 emergency call 911 cause right tryna find someone ring phone ring finger brrr actin like tryna either yeah good girl watch turn diva goes heart put speaker oh hit line oh oh make ring ring ring ring keep low want make ring ring ring ring used line tick time yeah love make feel like mind got time know go head bed love know wanna spend time instead caught yeah caught done left alone yeah fed ready next step wanna said miss miss us baby know hit line oh oh make ring ring ring ring make ring baby keep low yeah yeah oh want make ring ring ring ring,15
15,Youngblood,5 Seconds of Summer,Pop,remember words told love til day die surrender everything cause made believe mine yeah used call baby calling name takes one know one yeah beat damn game pushing pushing pulling away pulling away give give give take give take young blood say want say want life dead man walking tonight need yeah need time yeah ooh ooh ooh young blood say want say want back life dead man crawling tonight cause need yeah need time yeah ooh ooh ooh lately conversations end like last goodbye yeah one us gets drunk calls hundred times calling baby nobody could take place looking strangers hope god see face young blood say want say want life dead man walking tonight need yeah need time yeah ooh ooh ooh young blood say want say want back life dead man crawling tonight cause need yeah need time yeah ooh ooh ooh pushing pushing pulling away pulling away give give give take give take running around running away running away young blood say want say want life dead man walking tonight need yeah need time yeah ooh ooh ooh young blood say want say want back life dead man crawling tonight cause need yeah need time yeah ooh ooh ooh pushing pushing pulling away pulling away give give give take give take young blood say want say want life dead man walking tonight,16
16,Barbie Tingz,Nicki Minaj,Pop,dem dem dem dem dem dem dem dem dem dem dem dem dem dem dem dem dem dem dem dem uh prime optimus sagittarius know optimist man keep real prophetess okay least took l bucket list bucket list time make hits time diss still dissin still find hits okay worth dummy mind bit still show gettin chips time dip okay still fly bagged white guy okay ritchie like guy still eat thai want nicki cheat code come bitch nice try let real bitches wanna look like wanna demand get booked like wanna run lab cook like nan hoes pussy good like pussy good ex wanna still fight face pretty bitches wish could slice mad cause never bought ice like cut niggas would still wife still wife rap bitches tell team make em like barbie come ig stalk copy looks steal music want see bitches lose blue print mean pinkprint ho let sink spoke jay day still kingpin still nigga woulda signed sign wayne perfectly designed crew cause big 3 need big speech made biggest impact check spreadsheet lil weezy barbie drizzy drake niggas gettin cheese kissy face bad bitch fuck bitch uh bitch get slick cut bitch bad bitch suck dick okay bitch get slick cut bitch cut bitch gut bitch okay fuck bitch man fuck bitch shoot gun butt bitch say fuck bitch dick bitch stuck niggas stuck bitch still draggin pick bitch get combination safe drug bitch know whole operation bugged bitch okay still fly bagged white guy okay ritchie like guy still eat thai want nicki cheat code come bitch nice try let real bitches wanna look like wanna demand get booked like wanna run lab cook like nan hoes pussy good like pussy good ex wanna still fight face pretty bitches wish could slice mad cause never bought ice like cut niggas would still wife still wife would still wife would still wife yup would still wife ahh ha come stealin flows birds fluent stutter get asked bout queen influence clear bite flattered like wanna check bitches tell em wear nikes barbie tings barbie tings big barbie tings barbie tings big barbie tings barbie tings uh barbie dreamhouse barbie rings barbie beach house barbie benz barbie white picket barbie fence tea shade bitch offense ever try confiscate barbie ken put box dollies chop next stop garbage bin cause hoes old gossipin tryna find new porsche come,17
17,Thru Your Phone,Cardi B,Pop,look want break shit call mama phone let know raised bitch dial tone click fuck little fake ass friends come around actin like bros seen little group texts like brag hoes tell little bitch screenshotted naked pics oh wanna send nudes man wake see boobs gram lil bitch cannot stand right hand jesus might cut tongues sneakers smash tv best buy gon turn left eye wanna hear bout invasion privacy feeling turns lie holdin back everything inside fuckin bitches follow heart beating like bleeding sleepin sleepin sleepin sleeping like baby everyone right creepin creepin creepin went phone last night went phone last night saw things like went phone last night killin killin killin oh see different scenarios beyoncé stereo resentment repeat make bowl cereal teaspoon bleach serve like go nigga bon appétit look give raw love nah risk whole home hoe bar really want hoes bitches even cheat badder bitches shit eatin sleepin peacefully gettin mad thinkin bout stabbin even know close dyin gon wake like got attitude heart beating like bleeding sleepin sleepin sleepin sleeping like baby everyone right creepin creepin creepin went phone last night went phone last night saw things like went phone last night killin killin killin oh killin killin killin killin oh killin killin killin killin oh killin killin killin killin oh killin went phone last night went phone last night saw things like went phone last night killin killin killin oh,18
18,Somebody,The Chainsmokers,Pop,town full fancy cars crowded bars supermodels looks exactly way inside head dreamed things could live without need em cause around thing afford lose tryna somebody somebody known better listen heart people change weather know know like really like anybody tell like anybody else put back together let fall apart people change weather town full fancy cars crowded bars supermodels looks exactly way inside head dreamed things could live without need em cause around thing afford lose tryna somebody somebody somebody somebody know know like somebody head knew better head knew better blame faults know forget know know like really like anybody tell like anybody else town full fancy cars crowded bars supermodels looks exactly way inside head dreamed things could live without need em cause around thing afford lose tryna somebody somebody somebody somebody somebody somebody somebody know know like somebody somebody somebody somebody know know like cause really like anybody tell like anybody cause really like anybody tell like anybody town full fancy cars crowded bars supermodels looks exactly way inside head dreamed things could live without need em cause around thing afford lose tryna somebody somebody somebody somebody somebody somebody know know like somebody somebody somebody somebody know know like stop tryna somebody stop tryna somebody,19
19,1-800-273-8255,Logic,Pop,low taking time feel like mind feel like life mine relate woo low taking time feel like mind feel like life mine wanna alive wanna alive wanna die today wanna die wanna alive wanna alive wanna die let tell shit talkin bout think know praying somebody save one heroic life even matter know know know hurting deep show never place call never home nobody callin phone mind say every life precious nobody care mine low taking time feel like mind feel like life mine relate woo low taking time feel like mind feel like life mine want alive want alive gotta die today gotta die want alive want alive gotta die lemme tell first breath head drowning underwater lightness air chest chest lover holding though road long seeing light darkest things stare reflection finally knowing know thank god know goin know reason believe life day without little night tryna shed little light hard hard gotta live right got everything give right low taking time feel like mind feel like life mine relate woo low taking time feel like mind feel like life mine finally wanna alive finally wanna alive wanna die today wanna die finally wanna alive finally wanna alive wanna die wanna die pain hurt know lane travel feels alone moving til legs give see tears melt snow wanna cry wanna cry anymore wanna feel alive even wanna die anymore oh wanna wanna even wanna die anymore,20
20,Bom Diggy,Zack Knight & Jasmin Walia,Pop,boy last one standing boy show could one one one tu akhiyaan mila ke tu nehde nehde aaja te naale heel paa ke ni tere utte marda tu galla badi karda kar wakha jaa nehde nehde ah tu aaja sohneya ya ya wanna see wild like rihanna get upon bom diggy diggy bom bom burn like summer turn bom diggy diggy bom bom got like crazy call bom diggy diggy bom bom got like crazy call bom diggy diggy bom bom pagol amar andhar hoy pagol aaj amar andhar andhar pagol amar andhar hoy pagol aaj amar andhar andhar pagol amar andhar hoy pagol aaj amar andhar andhar pagol amar andhar hoy pagol hoy pagol hoy pagol hoy pagol girl know want tenu takeya te ho gaya pyaar believe tenu dil da haal sunaa oh pichhey mere jaake tu akhiya ladaiya tu dil nu churaa ke tu churiya chalaiya tu galla bada kardi aa tenu samjhawa nehde nehde ah tu aaja sohneya ya ya wanna see wild like rihanna get upon bom diggy diggy bom bom burn like summer turn bom diggy diggy bom bom got like crazy call bom diggy diggy bom bom got like crazy call bom diggy diggy bom bom pagol amar andhar hoy pagol aaj amar andhar andhar pagol amar andhar hoy pagol aaj amar andhar andhar pagol amar andhar hoy pagol aaj amar andhar andhar pagol amar andhar hoy pagol hoy pagol hoy pagol hoy pagol oh baby give one dance one dance one dance oh baby make last make last make last keep going keep like cause body like hourglass left right everybody club diggy diggy bom bom wanna see wanna see wanna see wild like rihanna get upon bom diggy diggy bom bom burn like summer turn bom diggy diggy bom bom got like crazy call bom diggy diggy bom bom got like crazy call bom diggy diggy bom bom pagol amar andhar hoy pagol aaj amar andhar andhar pagol amar andhar hoy pagol aaj amar andhar andhar pagol amar andhar hoy pagol aaj amar andhar andhar pagol amar andhar hoy pagol hoy pagol hoy pagol hoy pagol,21
21,Bukti,Virgoun,Pop,memenangkan hatiku bukanlah satu hal yang mudah kau berhasil membuat ku tak bisa hidup tanpamu menjaga cinta itu bukanlah satu hal yang mudah namun sedetik pun tak pernah kau berpaling dariku beruntungnya aku dimiliki kamu kamu adalah bukti dari cantiknya paras dan hati kau jadi harmoni saat ku bernyanyi tentang terang dan gelapnya hidup ini kaulah bentuk terindah dari baiknya tuhan padaku waktu tak mengusaikan cantikmu kau wanita terhebat bagiku tolong kamu camkan itu meruntuhkan egoku bukanlah satu hal yang mudah dengan kasih lembut kau pecahkan kerasnya hatiku beruntungnya aku dimiliki kamu ku ingin engkau tahu kamu adalah bukti dari cantiknya paras dan hati kau jadi harmoni saat ku bernyanyi tentang terang dan gelapnya hidup ini kaulah bentuk terindah kaulah bentuk terindah dari baiknya tuhan padaku waktu tak mengusaikan cantikmu mengusaikan cantikmu kau wanita terhebat bagiku tolong kamu camkan itu semua yang jadi bukti tersimpan di dalam palung hati semua yang jadi bukti tersimpan di dalam palung hati kamu adalah bukti dari cantiknya paras dan hati kau jadi harmoni saat ku bernyanyi tentang terang dan gelapnya hidup ini kaulah bentuk terindah kaulah bentuk terindah dari baiknya tuhan padaku waktu tak mengusaikan cantikmu mengusaikan cantikmu kau wanita terhebat bagiku tolong kamu camkan itu tolong kamu camkan itu,22
22,Perfect,Ed Sheeran,Pop,found love oh darling dive right follow lead well found girl beautiful sweet oh never knew someone waiting cause kids fell love knowing give time darling kiss slow heart eyes holding mine baby dancing dark arms barefoot grass listening favourite song said looked mess whispered underneath breath heard darling look perfect tonight well found woman stronger anyone know shares dreams hope someday share home found love carry secrets carry love carry children still kids love fighting odds know alright time darling hold hand girl man see future eyes baby dancing dark arms barefoot grass listening favorite song saw dress looking beautiful deserve darling look perfect tonight baby dancing dark arms barefoot grass listening favorite song faith see know met angel person looks perfect deserve look perfect tonight,23
23,I Got the Juice,Janelle Monáe,Pop,damn electric alright know got juice yeah know got juice uh know got juice uh huh squeeze passionfruit squeeze one fresher woo fresher one fresher woo fresher try break say love think love think love number one love doubt love think love think love think stop shine got juice juice tonight chaser need mixer got juice juice tonight baby plug filter got juice juice tonight many damn times got tell got juice juice tonight baby got juice got juice tonight love think love think love number one doubt go girl use sauce sauce loss loss loss turn turn got everbody looking cup cup know wanna drink drink know wanna drink drink try take say love think love think love number one love doubt love think love think love think stop shine got juice juice tonight chaser need mixer got juice juice tonight baby plug filter got juice juice tonight many damn times got tell got juice juice tonight baby got juice got juice tonight freak freak scene yeah wet wet dream wakin like wean jeans yeah yellow like pee yeah oh mean know lean huh got little kink uh kinda make wanna drink got little cream yeah feel like yeah work like caffeine hey drippin like extra large top small yeah let wipe look inside wait get home nah cupholders small uh believe yeah tastes like good time ring foggy business yeah short turn memory fried brain got girl tough shit yeah nothin else fuck hey pressed please fresh squeezed juice could never supplement hey got juice lovers got juice wives hey juice religion got juice thighs hey ask angels baby juice divine hey juice quite like juice quite like mine hey try grab pussy cat pussy grab back hey try grab pussy cat pussy grab back hey try grab pussy cat pussy grab back hey pussy grab back give pussy cataracts hey yeah got juice truth see throw throw plug need truth truth yeah yeah got juice dirty computer dirty computer break break want get take take crown want need yeah yeah got juice yeah yeah got juice dirty computer dirty comp,24
24,Raat Kamaal Hai 320Kbps MP3 Song,"Guru Randhawa, Tulsi Kumar",Pop,320kbps song download raat kamaal hai guru randhawa 320kbps download raat kamaal hai guru randhawa 320kbps songs download raat kamaal hai guru randhawa 320kbps mp3 free download raat kamaal hai guru randhawa 320kbps full album mp3 songs download,25
25,Mine,Bazzi,Pop,huh yeah naw lil bit much hennessy gotta tell feel look fuckin precious smile hit back drive wild girl lose eye eye eye eye eyes let know mine hands body wanna waste time feels like forever even forever tonight lay waste night away mine look away gotta say fucking happy alive swear god gotta say right girl anything make feel alright oh oh oh oh let know fine running circles round mind even rainy ever shine fire star like mariah man feel incredible turn bride mine hands body wanna waste time feels like forever even forever tonight lay waste night away mine look away gotta say,26
26,X (EQUIS),Nicky Jam & J Balvin,Pop,lyrics,27
27,Finesse (Remix),Bruno Mars,Pop,drop top porsche porsche rollie wrist wrist diamonds chain aha cardi b straight stuntin tell nothin bossed changed game see big bronx boogie got girls shook shook big fat ass got boys hooked hooked went dollar bills poppin rubber bands ha bruno sang money dance like ayy flexin gram like ayy hit lil jon okay okay okay okay oh yeah drippin finesse getting paid ow ooh look good together reason watch night long night long yeah know turn heads forever forever tonight gonna show walkin watch whole room change baby baby play blame confidence oh blame measurements shut shit sight right drippin finesse make sense drippin finesse know know drippin finesse make sense drippin finesse know know slow baby slow cause love way feels grind grind yeah connection magnetic floor nothing stop us tonight walkin watch whole room change baby baby play blame confidence oh blame measurements shut shit sight right drippin finesse make sense drippin finesse know know drippin finesse make sense drippin finesse know know fellas grab ladies lady fine tell one one life woo ladies grab fellas let right right one like mind ow yeah got goin got goin feel good us ayy yeah got goin got goin yeah girl got goin yeah got goin got goin hey feel good us ayy feels good yeah got goin got goin drippin finesse drippin make sense drippin finesse know know drippin finesse baby make sense drippin finesse know know yeah know got goin yeah got goin got goin feel good us ayy yeah got goin got goin know know yeah got goin got goin girl got feel good us ayy yeah got goin got goin know know,28
28,Baby,Justin Bieber,Pop,oh whoa oh whoa oh whoa know love know care shout whenever love heart never ever ever apart item girl quit playing friends saying said another looked right eyes first love broke heart first time like baby baby baby oh like baby baby baby like baby baby baby oh thought always mine mine baby baby baby oh like baby baby baby like baby baby baby oh thought always mine mine oh would done whatever believe together wanna play cool losing buy anything buy ring pieces baby fix shake til wake bad dream going believe first love around like baby baby baby oh like baby baby baby like baby baby baby oh thought always mine mine baby baby baby oh like baby baby baby like baby baby baby oh thought always mine mine luda 13 first love nobody compared baby nobody came us one could ever come going crazy oh starstruck woke daily need starbucks made heart pound skip beat see street school playground really want see weekend knows got dazing cause amazing heart breaking keep saying baby baby baby oh like baby baby baby like baby baby baby oh thought always mine mine baby baby baby oh like baby baby baby like baby baby baby oh thought always mine mine gone yeah yeah yeah gone yeah yeah yeah gone yeah yeah yeah gone gone gone gone,29
29,The Greatest Show,Hugh Jackman,Pop,woah woah woah woah woah woah woah woah woah ladies gents moment waited woah searching dark sweat soaking floor woah buried bones ache ignore taking breath stealing mind real left behind fight coming running ya moment care comes fever dream see getting closer surrender cause feel feeling taking fire freedom flooding open preacher pulpit find devotion something breaking brick every wall holding know tell wanna go covered colored lights runaways running night impossible comes true taking oh greatest show light come sun stop us watching come true taking oh greatest show woah colossal come renegades ring woah lost get found crown circus king fight coming running ya moment care comes blinding outshining anything know surrender cause calling wanna go covered colored lights runaways running night impossible comes true intoxicating oh greatest show light come sun stop us watching come true taking oh greatest show everything ever want everything ever need right front wanna wanna everything ever want everything ever need right front wanna wanna covered colored lights runaways running night impossible comes true taking oh greatest show light come sun stop us watching come true taking greatest show covered colored lights runaways running night impossible comes true taking oh greatest show light come walls stop us watching come true taking oh greatest show cause everything want right front see impossible coming true walls stop us yeah greatest show oh greatest show oh greatest show oh greatest show oh greatest show oh greatest show oh greatest show greatest show oh greatest show,30
30,Despacito (Remix),Luis Fonsi & Daddy Yankee,Pop,lyrics,31
31,Screwed,Janelle Monáe,Pop,live life magazine live life tv screen live life birth control lost mind rock roll hear sirens calling bombs falling streets screwed ah ah ah perfect baby go sex crazy feel screwed sex body gonna crash party let get screwed care fucked world fuck back let get let get screwed care put water guns fun let get screwed wanna get screwed holiday wanna get screwed holiday wanna get screwed matinee wanna get screwed matinee wanna get screwed festival wanna get screwed festival wanna get screwed like animal hear sirens calling bombs falling streets screwed ah ah ah birthday baby go sex crazy feel screwed sex body gonna crash party let get screwed care fucked world fuck back let get let get screwed care put water guns fun let get let get screwed see everything sex except sex power know power sex screw screw everything sex except sex power know power sex ask screwing let get screwed care care fucked world fuck back let get screwed care put water guns fun let get screwed hear sirens calling bombs falling streets screwed ah ah ah birthday baby go sex crazy feel screwed hear sirens calling bombs falling streets screwed screwed let get screwed care let get screwed care see everything sex except sex power know power sex screw screw everything sex except sex power know power sex ask screwing hundred men telling cover areolas blocking equal pay sippin coca colas oh fake news fake boobs fake food—what real still matrix eatin blue pills oh devil met russia made deal marching street blocking every bill oh tired hoteps tryna tell feel real,32
32,Única,Ozuna,Pop,lyrics,33
33,Amorfoda,Bad Bunny,Pop,lyrics,34
34,Come Through and Chill,Miguel,Pop,trust pick phone show real pick phone show real pick phone show real pick phone yeah wanna put pressure ya wanna put blessing ya since last undressin session really sure checkin progressin heard songs poppin macedonia even serbia mean burden ya got man since understand last thing wanna get jammed specially fan prolly never wanna hear shit need every single soundscan single town fiendin another round countin days patient browns fan chip prolly shoulder cause forgot hit back left read apologies said often never meant well fuck repent message never sent hello stranger minute since last kicked way got town let cumulus clouds sky ruin vibe usually often since recruiting option due unusual rain thunder baby wonder baby wonder would put sweats put sweats yeah cause got plug made call green talkin late night let lay great time hesitate say come chill chill chill say come chill chill chill mmm say wanna f night say wanna f night uh huh uh huh wanna f night say wanna f night hello stranger vape waiting recall ass still amazing playin baby nah sayin baby lovin shit know crazy go ahead pour drink glad got link uh yeah get takin takin yeah yeah cause got plug made call green talkin late night let lay great time make wait say yeah come chill chill chill say hit back shit good sign yeah come chill chill chill ayy gucc tell real shit yeah case lack reply catchin feelings know mind like kaepernick kneelin police killings trump sayin slick shit manipulatin poor white folks ignant blind struggles ones got pigment lately stressin cause seems malignant need feel essence presence guarantee regret come say come chill chill chill say come chill chill chill say wanna f night say wanna f night uh huh uh huh come chill chill chill wanna f night say wanna f night say wanna f night say wanna f night uh huh uh huh come chill chill chill mmm say wanna f night uh say wanna f night uh huh uh huh wanna f night say wanna f night ahh pick phone show real pick phone show real ahh pick phone show real pick phone mmm say yeah ahh,35
35,Dirty Computer,Janelle Monáe,Pop,dirty computer walk line look closer recognize special broke inside crashing slowly bugs dirty computer breaking picking face ground love space time cause baby ever dirty computer dirty computer searching someone fix life text message caught sky oh love please reply oh see dirty computer dirty computer dirty computer dirty computer love space time love space time,36
