,Song_Name,Genre,Lyrics
10,Mercy,country,"[Verse 1]
Mercy
Why you gotta show up lookin' so good just to hurt me?
Why you wanna stop this whole damn world from turning?
Mercy
Why you hanging on so tight if this ain't working?
Why you wanna stop this flame if it's still burning?
Cause it's still burning

[Chorus]
So if you're gonna break my heart, just break it
And if you're gonna take your shot, then take it
Take it
If you made up your mind, then make it
But make this fast
If you ever loved me
Have mercy

[Verse 2]
If you go out tonight and get drunk and lonely
Wind up home alone please don't call me
And say you miss me, no

[Chorus]
So if you're gonna break my heart, just break it
And if you're gonna take your shot, then take it
Take it
If you made up your mind, then make it
But make this fast
If you ever loved me
Have mercy

[Bridge]
Woah
Oh have mercy

[Chorus]
If you're gonna break my heart, just break it
If you're gonna take your shot, take it
Take it
Oh if you're gonna break my heart, just break it
And if you're gonna take your shot, then take it
Take it
If you made up your mind, then make it
But make this fast
If you ever loved me
Mmmh if you ever loved me
Have mercy
Oh have mercy
Oh have mercy
Have mercy"
11,Something You Get Through,country,"When you lose the one you love
You think your world has ended
You think your world will be a waste of life
Without them in it
You feel there's no way to go on
Life is just a sad, sad song
But love is bigger than us all
The end is not the end at all

It's not somethin' you get over
But it's somethin' you get through
It's not ours to be taken
It's just a thing we get to do
Life goes on and on
And when it's gone
It lives in someone new
It's not somethin' you get over
But it's somethin' you get through

It's not somethin' you get over
But it's somethin' you get through
It's not ours to be taken
It's just a thing we get to do

Life goes on and on
And when it's gone
It lives in someone new
It's not somethin' you get over
But it's somethin' you get through
It's not somethin' you get over
But it's somethin' you get through"
12,Stay,country,"[Verse 1]
It's true that all that you know is all that you are
You said that it's all that you want and more
Fuck off and pour another drink
And tell me what you think
You know that I'm too drunk to talk right now
You put your cigarette out on my face
So beautiful, please, woman

[Refrain]
Don't break your back for me
I'll put you out of your misery

[Chorus]
Tell me that it's all okay (tell me that it's all okay)
I've been waitin' on this all damn day (waitin' on this all damn day)
Call me in the mornin', tell me how last night went
I'm here, but don't count on me to...

[Verse 2]
Stay a little longer if you convince me
And tell me all the things that you have against me
Every time we make up, the truth is faded
Everybody's blind when the view's amazin'
Damn, who are we right now?
Can we have a little conversation?
Figure it out with no intoxication
We carry on, what is our motivation?
We're never wrong, how the hell we gonna make it?
Maybe we're used to this
Tell me, what are we to do?
It's like we only play to lose
Chasin' pain with an excuse
I love that shit and so do you

[Refrain]
But don't break your back for me
I'll put you out of your misery

[Chorus]
Tell me that it's all okay (tell me that it's all okay)
I've been waitin' on this all damn day (waitin' on this all damn day)
Call me in the mornin', tell me how last night went
I'm here, but don't count on me to stay

[Guitar Solo]
Mr. Andrew Watt, ladies and gentlemen

[Chorus]
Tell me that it's all okay (tell me that it's all okay)
I've been waitin' on this all damn day (waitin' on this all damn day)
Call me in the mornin', tell me how last night went
I'm here, but don't count on me to stay"
13,Broken Arrows,country,"[Verse 1]
You stripped your love down to the wire
Fire shy and cold alone outside
You stripped it right down to the wire
But I see you behind those tired eyes

[Pre-Chorus]
Now as you wade through shadows that live in your heart
You'll find the light that leads home
Cause I see you for you and your beautiful scars
So take my hand, don't let go

[Chorus]
Cause it's not too late, it's not too late
I, I see the hope in your heart
And sometimes you lose and sometimes you're shooting
Broken arrows in the dark
But I, I see the hope in your heart

[Verse 2]
I've seen the darkness in the light
The kind of blue that leaves you lost and blind
The only thing that's black and white
Is that you don't have to walk alone this time

[Pre-Chorus]
We have to tear down walls that live in your heart
To find someone you call home
Now you see me for me and my beautiful scars
So take my hand, don't let go

[Chorus]
Cause it's not too late, it's not too late
I, I see the hope in your heart
And sometimes you lose and sometimes you're shooting
Broken arrows in the dark
But I, I see the hope in your heart

[Outro]
It's not too late, it's not too late
I see the hope in your heart
Sometimes losing, sometimes shooting
Broken arrows in the dark"
14,Самая вышка,country,"Строишь глазки, что за страсти
Подхожу к тебе немедленно
Со словом «Здрасьте»
Ты такая милая, ты такая красивая
Слов нет просто
Я просто в шоке
Твоё тело просто космос
Всё ближе-ближе, всё ближе-ближе
Повторяй за мной
Поднимая руки выше, ещё выше...ещё выше
Прошу танцуй со мной девушка из Парижа

Моя малышка, твоя улыбка
Ең әдемі, самая вышка...

Сені мен көрген сайын, как будто тебя знаю
Жақындап танысам десем орысша ой не знаю
Ай дауысын сенің, ай қимылын сенің
Майысқан шыбық белін, общем кайф әрбір жерін

Әдемісің до того, көзім тоймайды...
Кім болсада все равно сендей болмайды...
Моя малышка, твоя улыбка
Ең әдемі, самая вышка..."
15,In Hell I'll Be in Good Company,country,"Dead Love couldn't go no further
Proud of and disgusted by her
Push shove, a little bruised and battered
Oh Lord I ain't coming home with you

My life's a bit more colder
Dead wife is what I told her
Brass knife sinks into my shoulder
Oh babe don't know what I'm gonna do

I see my red head, messed bed, tear shed, queen bee
My squeeze
The stage it smells, tells, hell's bells, miss-spells
Knocks me on my knees
It didn't hurt, flirt, blood squirt, stuffed shirt
Hang me on a tree
After I count down, three rounds, in hell I'll be in good company

Dead Love couldn't go no further
Proud of and disgusted by her
Push shove, a little bruised and battered
Oh Lord I ain't coming home with you

My life's a bit more colder
Dead wife is what I told her
Brass knife sinks into my shoulder
Oh babe don't know what I'm gonna do

I see my red head, messed bed, tear shed, queen bee
My squeeze
The stage it smells, tells, hell's bells, misspells
Knocks me on my knees
It didn't hurt, flirt, blood squirt, stuffed shirt
Hang me on a tree
After I count down, three rounds, in hell I'll be in good company

In hell I'll be in Good Company"
16,Get Along,country,"[Verse 1]
A man wearin' a t-shirt, says ""Virginia is for lovers""
Had a Bible in his left hand and a bottle in the other
He says ""All you're really given is the sunshine and your name""
We both started laughin' when the sky started to rain

[Chorus]
Get along, on down the road
We've got a long long way to go
Scared to live, scared to die
We ain't perfect but we try
Get along while we can
Always give love the upper hand
Paint a wall, learn to dance
Call your mom, buy a boat
Drink a beer, sing a song
Make a friend, can't we all get along

[Verse 2]
Saw a model on a billboard, 1-800 get to know me
Wondered was she photoshopped, or were her eyes really that lonely?
Did she leave her hometown thinkin' she'd end up in L.A.?
Did she break down in the desert and get stuck beside the highway?

[Chorus]
Get along, on down the road
We've got a long long way to go
Scared to live, scared to die
We ain't perfect but we try
Get along while we can
Always give love the upper hand
Paint a wall, learn to dance
Call your mom, buy a boat
Drink a beer, sing a song
Make a friend, can't we all get along

[Bridge]
We find out when you die the keys to heaven can't be bought
We still don't know what love is but we sure know what it's not
Sometimes you got to

[Chorus]
Get along, on down the road
We've got a long long way to go
Scared to live, scared to die
We ain't perfect but we try
Get along while we can
Always give love the upper hand
Paint a wall, learn to dance
Call your mom, buy a boat
Drink a beer, sing a song
Make a friend, can't we all get along"
17,What Ifs,country,"[Verse 1: Kane Brown]
You say what if I hurt you, what if I leave you
What if I find somebody else and I don't need you?
What if this goes south, what if I mess you up?
You say what if I break your heart in two, then what?

[Pre-Chorus: Kane Brown]
Well I hear you girl, I feel you girl, but not so fast
Before you make your mind up, I gotta ask

[Chorus: Kane Brown & Lauren Alaina]
What if I was made for you and you were made for me?
What if this is it, what if it's meant to be?
What if I ain't one of them fools just playin' some game?
What if I just pull you close, what if I lean in?
And the stars line up, and it's our last first kiss
What if one of these days, baby, I go and change your name?
What if I loved all these what ifs away?

[Verse 2: Kane Brown & Lauren Alaina]
What if the sky falls (sky falls)
Or the sun stops burnin'?
We could worry about them what ifs 'til the world stops turnin'?
Or I could kiss you (you should kiss me)
What if you liked it? (bet I'd like it)
Well we ain't never gonna know unless we try it

[Chorus: Kane Brown & Lauren Alaina]
What if I was made for you and you were made for me?
What if this is it, what if it's meant to be?
What if I ain't one of them fools just playin' some game?
What if I just pull you close, what if I lean in?
And the stars line up, and it's our last first kiss
What if one of these days baby, I go and change your name?
What if I loved all these what ifs away?
Awe yeah
C'mon

[Bridge: Kane Brown]
You say what if I hurt you, what if I leave you?
What if I find somebody else and I don't need you?
Damn

[Chorus: Kane Brown & Lauren Alaina]
What if I was made for you and you were made for me?
What if this is it, what if it's meant to be?
What if I ain't one of them fools just playin' some game?
What if I just pull you close, what if I lean in?
And the stars line up, and it's our last first kiss
What if one of these days baby, I go and change your name?
What if I loved all these what ifs away?

[Outro: Kane Brown & Lauren Alaina]
Away (away)
What if?"
18,"Take Me Home, Country Roads",country,"Almost heaven, West Virginia
Blue ridge mountains, Shenandoah river
Life is old there, older than the trees
Younger than the mountains, blowing like a breeze

Country roads, take me home
To the place I belong
West Virginia, mountain mamma
Take me home, country roads

All my memories, gather round her
Miners' lady, stranger to blue water
Dark and dusty, painted on the sky
Misty taste of moonshine, teardrop in my eye

Country roads, take me home
To the place I belong
West Virginia, mountain mamma
Take me home, to the country roads

I hear her voice in the morning hour she calls me
Radio reminds me of my home far away
Driving down the road I get a feeling
That I should have been home yesterday, yesterday

Country roads, take me home
To the place I belong
West Virginia, mountain mamma
Take me home, country roads

Country roads, take me home
To the place I belong
West Virginia, mountain mamma
Take me home, to the country roads

Take me home, that country road
Take me home, that country road"
19,Hurt,country,"[Produced by Rick Rubin]

[Verse 1]
I hurt myself today
To see if I still feel
I focus on the pain
The only thing that's real
The needle tears a hole
The old familiar sting
Try to kill it all away
But I remember everything

[Chorus]
What have I become
My sweetest friend?
Everyone I know
Goes away in the end
And you could have it all
My empire of dirt
I will let you down
I will make you hurt

[Verse 2]
I wear this crown of thorns
Upon my liar's chair
Full of broken thoughts
I cannot repair
Beneath the stains of time
The feelings disappear
You are someone else
I am still right here

[Chorus]
What have I become
My sweetest friend?
Everyone I know
Goes away in the end
And you could have it all
My empire of dirt
I will let you down
I will make you hurt

[Outro]
If I could start again
A million miles away
I would keep myself
I would find a way"
20,Take It Easy,country,"Well, I'm running down the road
Tryin' to loosen my load
I've got seven women on
My mind

Four that wanna own me
Two that wanna stone me
One says she's a friend of mine

Take It easy, take it easy
Don't let the sound of your own wheels
Drive you crazy
Lighten up while you still can
Don't even try to understand
Just find a place to make your stand
And take it easy

Well, I'm a standing on a corner
In Winslow, Arizona
And such a fine sight to see
It's a girl, my Lord, in a flatbed
Ford slowin' down to take a look at me

Come on, baby, don't say maybe
I gotta know if your sweet love is
Gonna save me
We may lose and we may win though
We will never be here again
So open up, I'm climbin' in
So take it easy

Well I'm running down the road trying to loosen
My load, got a world of trouble on my mind
Lookin' for a lover who won't blow my
Cover, she's so hard to find

Take it easy, take it easy
Don't let the sound of your own
Wheels make you crazy
Come on baby, don't say maybe
I gotta know if your sweet love is
Gonna save me, oh oh oh
Oh we got it easy
We oughta take it easy"
21,Chootay Maatay Punjabi Mp3 Song 320Kbps Download Djpunjab,country,"Chootay Maatay Official Single By Guri Mp3 Direct Download


Chootay Maatay
Chootay Maatay Download
Chootay Maatay Song Download
Chootay Maatay Guri Download
Chootay Maatay By Guri
Guri Chootay Maatay Djpunjab
Chootay Maatay Mp3 Song Download
Guri New Song Download 2018
Chootay Maatay Mp3 Song
Chootay Maatay Mp3 Free Download
Chootay Maatay Audio
Chootay Maatay Full Song
Chootay Maatay HQ Song
Chootay Maatay Low Quality Song Download
Chootay Maatay Pagalworld.com
Chootay Maatay Mp3 Free Download
Chootay Maatay Ft J Star
Chootay Maatay J Star Song
Chootay Maatay Lyrics Download
Chootay Maatay Full Song Mp3
Chootay Maatay Song Mp3 Download
Chootay Maatay Songs Pk
Chootay Maatay Mr-jatt
Chootay Maatay Mp3mad
Chootay Maatay Mr-punjab
Chootay Maatay Djjohal


Latest Punjabi Song 2018 Chootay Maatay By Guri Official Single Mp3 Free Download From Starsongspk.Audio"
22,Whiskey Lullaby,country,"[Verse 1: Brad Paisley]
She put him out
Like the burning end of a midnight cigarette
She broke his heart
He spent his whole life tryin' to forget
We watched him drink his pain away
A little at a time
But he never could get drunk enough
To get her off his mind
Until the night...

[Chorus:Brad Paisley &Alison Krauss ]
He put that bottle to his head and pulled the trigger
And finally drank away her memory
Life is short, but this time it was bigger
Than the strength he had to get up off his knees
We found him with his face down in the pillow
With a note that said, ""I'll love her 'til I die""
And when we buried him beneath the willow
The Angels sang a whiskey lullaby

[Break:Brad Paisley &Alison Krauss]
La la la la la la la, la la la la la la laa
La la la la la la la, la la la la la la laa

[Verse 2: Alison Krauss]
The rumors flew
But nobody knew how much she blamed herself
For years and years
She tried to hide the whiskey on her breath
She finally drank her pain away
A little at a time
But she never could get drunk enough
To get him off her mind
Until the night..

[Chorus:Brad Paisley &Alison Krauss]
She put that bottle to her head and pulled the trigger
And finally drank away his memory
Life is short, but this time it was bigger
Than the strength she had to get up off her knees
We found her with her face down in the pillow
Clinging to his picture for dear life
We laid her next to him beneath the willow
While the Angels sang a whiskey lullaby

[Outro: Brad Paisley &Alison Krauss]
La la la la la la la, la la la la la la laa
La la la la la la la, la la la la la la laa
La la la la la la la, la la la la la la laa
La la la la la la la, la la la la la la laa"
23,You Make It Easy,country,"[Verse 1]
Like a rainy Sunday morning makes me want to stay in bed
Twisted up all day long
You're my inspiration, girl
You take me places, put the words right into these songs

[Bridge]
Stealing kisses under cover, babe
See forever when I see your face
And I swear God made you for me

[Chorus]
You make it easy loving up on you
Make it easy with every little thing you do
You're my sunshine in the darkest days
My better half, my saving grace
You make me who I wanna be
You make it easy

[Verse 2]
You took all my rough around the edges
Never let it ruffle up your feathers, angel
Yeah I'm down for life, you got me wrapped around your finger
And I like it just in case you can't tell

[Chorus]
You make it easy loving up on you
Make it easy with every little thing you do
You're my sunshine in the darkest days
My better half, my saving grace
You make me who I wanna be
You make it easy

[Bridge]
Stealing kisses under cover, babe
See forever when I see your face
And I swear God made you for me

[Chorus]
You make it easy loving up on you
Make it easy with every little thing you do
You're my sunshine in the darkest days
My better half, my saving grace
You make me who I wanna be
You make it easy
You make it easy"
24,Most People Are Good,country,"[Verse 1]
I believe kids oughta stay kids as long as they can
Turn off the screen, go climb a tree, get dirt on their hands
I believe we gotta forgive and make amends
'Cause nobody gets a second chance to make new old friends
I believe in working hard for what you've got
Even if it don't add up to a hell of a lot

[Chorus]
I believe most people are good
And most mamas oughta qualify for sainthood
I believe most Friday nights look better under neon or stadium lights
I believe you love who you love
Ain't nothing you should ever be ashamed of
I believe this world ain't half as bad as it looks
I believe most people are good

[Verse 2]
I believe them streets of gold are worth the work
But I'd still wanna go even if they were paved in dirt
I believe that youth is spent well on the young
'Cause wisdom in your teens would be a lot less fun
I believe if you just go by the nightly news
Your faith in all mankind would be the first thing you lose

[Chorus]
I believe most people are good
And most mamas oughta qualify for sainthood
I believe most Friday nights look better under neon or stadium lights
I believe you love who you love
Ain't nothing you should ever be ashamed of
I believe this world ain't half as bad as it looks
I believe most people are good

[Bridge]
I believe that days go slow and years go fast
And every breath's a gift, the first one to the last

[Chorus]
I believe most people are good
And most Mamas oughta qualify for sainthood
I believe most Friday nights look better under neon or stadium lights
I believe you love who you love
Ain't nothing you should ever be ashamed of
I believe this world ain't half as bad as it looks
I believe most people are good

[Outro]
I believe most people are good
I believe most people are good"
